j,strategy,delta,se,p_up,p_down,n1
17,daytrading_3methods_breakout,-0.02872641478268745,0.08122426924460327,0.6382061000903017,0.36179389990969835,13183
18,daytrading_3methods_breakout,0.07055954642965995,0.07967177363859282,0.1879090331616402,0.8120909668383598,13189
19,daytrading_3methods_breakout,0.14393509630756113,0.07937729764136744,0.034892546191844766,0.9651074538081552,13174
20,daytrading_3methods_breakout,0.09579120920992817,0.08242980357176172,0.12259857059169084,0.8774014294083092,13189
21,daytrading_3methods_breakout,0.018335066237578523,0.08471571150691262,0.4143260858092902,0.5856739141907098,13180
22,daytrading_3methods_breakout,-0.15157245277424752,0.08115377267155097,0.9690993838446853,0.030900616155314673,13176
23,daytrading_3methods_breakout,-0.022148621773302346,0.0794417229234848,0.6098021441873243,0.3901978558126757,13187
24,daytrading_3methods_breakout,-0.15047673913957677,0.07876015387465661,0.9719700294073175,0.028029970592682387,13185
25,daytrading_3methods_breakout,0.0416606001427246,0.08011977652246186,0.30153911086071367,0.6984608891392863,13181
26,daytrading_3methods_breakout,-0.006316692279173586,0.08139157494470511,0.5309303291859948,0.4690696708140052,13182
27,daytrading_3methods_breakout,-0.0717866819637401,0.07831598049216043,0.8203314020864361,0.179668597913564,13189
28,daytrading_3methods_breakout,0.12825518966488464,0.08000882033986158,0.0544658774526883,0.9455341225473117,13187
29,daytrading_3methods_breakout,-0.09245431005498256,0.07940307092202199,0.877862328641955,0.12213767135804501,13179
30,daytrading_3methods_breakout,-0.07079403300480452,0.08187614383090598,0.8063839538631454,0.1936160461368545,13183
31,daytrading_3methods_breakout,0.05118698252081477,0.08082475561577257,0.2632661915689898,0.7367338084310102,13180
32,daytrading_3methods_breakout,-0.03141903345432301,0.08244748083145788,0.6484278198672071,0.3515721801327929,13177
33,daytrading_3methods_breakout,0.17566092734646893,0.08009036789883066,0.014143459651370373,0.9858565403486297,13181
34,daytrading_3methods_breakout,-0.07759404504794803,0.08148736588754751,0.8295077426889802,0.17049225731101983,13192
35,daytrading_3methods_breakout,-0.09270990765824522,0.08184185994487878,0.8713494595706712,0.12865054042932883,13180
36,daytrading_3methods_breakout,-0.05668496199618439,0.08255222681032043,0.7538501590410569,0.2461498409589431,13176
37,daytrading_3methods_breakout,-0.04955014678653352,0.0796859228501438,0.7329692486468103,0.26703075135318965,13190
38,daytrading_3methods_breakout,-0.007759500895897109,0.07874877419118953,0.5392462111613898,0.4607537888386101,13185
39,daytrading_3methods_breakout,0.09673526664428805,0.0845613559241844,0.12631899007937958,0.8736810099206205,13177
40,daytrading_3methods_breakout,-0.03266817506951247,0.07886984622850227,0.6606375010757146,0.3393624989242854,13177
41,daytrading_3methods_breakout,-0.1722365195073256,0.07724727553693803,0.9871155728137113,0.012884427186288709,13186
42,daytrading_3methods_breakout,-0.16428189149307398,0.08076930564050762,0.9790224070299407,0.020977592970059286,13182
43,daytrading_3methods_breakout,0.094457542386156,0.08047862418287408,0.12025814985539159,0.8797418501446084,13182
44,daytrading_3methods_breakout,-0.042588367663527193,0.07850907803422448,0.7062506335146025,0.2937493664853975,13187
45,daytrading_3methods_breakout,0.07057695404259373,0.08077109645822939,0.19111638894237012,0.8088836110576298,13186
46,daytrading_3methods_breakout,0.083201458477485,0.07933936949884485,0.14716315075353886,0.8528368492464611,13186
47,daytrading_3methods_breakout,-0.0038992805496406158,0.08175717214523262,0.5190197177179625,0.48098028228203743,13178
48,daytrading_3methods_breakout,0.010112400147030132,0.08563935056591494,0.45300164647368485,0.5469983535263152,13187
49,daytrading_3methods_breakout,0.02554382384872661,0.08146726351110807,0.37693252307113984,0.6230674769288601,13180
50,daytrading_3methods_breakout,0.13344968555857595,0.07769725766189613,0.04293846996145445,0.9570615300385455,13180
51,daytrading_3methods_breakout,0.07391065740200337,0.0825593308457155,0.18532861972557127,0.8146713802744288,13185
52,daytrading_3methods_breakout,-0.094153216135683,0.07682789568559176,0.8898080987468607,0.11019190125313924,13176
53,daytrading_3methods_breakout,-0.04872452428479351,0.0795932814952427,0.7297869618515207,0.27021303814847936,13180
54,daytrading_3methods_breakout,0.1926612236033462,0.08127495972495286,0.008882337827604388,0.9911176621723956,13184
55,daytrading_3methods_breakout,-0.19347259405012368,0.07662478355549016,0.9942140146513078,0.005785985348692206,13183
56,daytrading_3methods_breakout,0.17416071142628053,0.08935477021737413,0.02564219028807937,0.9743578097119207,13181
57,daytrading_3methods_breakout,-0.01366343520943858,0.07659965327091543,0.5707856159918326,0.42921438400816736,13175
58,daytrading_3methods_breakout,0.08038749988507737,0.07733569628121525,0.14929501410740953,0.8507049858925905,13184
59,daytrading_3methods_breakout,-0.014527172392528709,0.0788151830487313,0.5731185777612902,0.42688142223870984,13184
60,daytrading_3methods_breakout,-0.0023920163169002806,0.08242380395197618,0.5115760552705162,0.4884239447294838,13192
61,daytrading_3methods_breakout,-0.07445138252248656,0.08017242229951488,0.8234623653920613,0.17653763460793867,13180
62,daytrading_3methods_breakout,-0.06972688457845028,0.08124765316553234,0.804609486968848,0.19539051303115193,13186
63,daytrading_3methods_breakout,-0.08123785344167361,0.0808248680921345,0.8425779687635171,0.157422031236483,13183
