date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-22,minervini_volume_dryup,088350,signal,Y,62,09:03:27,15:29:29,log
2026-09-22,minervini_volume_dryup,088350,cash,qty_short,31,09:03:27,15:23:35,log
2026-09-22,minervini_volume_dryup,006340,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,006340,signal,Y,62,09:03:27,15:29:29,log
2026-09-22,minervini_volume_dryup,006340,gate,held_any,62,09:03:27,15:29:29,log
2026-09-22,minervini_volume_dryup,028670,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,028670,signal,Y,62,09:03:27,15:29:29,log
2026-09-22,minervini_volume_dryup,028670,cash,qty_short,31,09:03:28,15:23:35,log
2026-09-22,minervini_volume_dryup,006360,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,006360,signal,replay:Y,,,,replay
2026-09-22,minervini_volume_dryup,006360,held,Y,,,,timeline
2026-09-22,minervini_volume_dryup,144960,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,144960,signal,Y,62,09:03:28,15:29:29,log
2026-09-22,minervini_volume_dryup,144960,gate,band_above,5,11:45:39,12:49:55,log
2026-09-22,minervini_volume_dryup,144960,cash,qty_short,28,09:03:28,15:23:35,log
2026-09-22,minervini_volume_dryup,161890,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,161890,signal,Y,62,09:03:28,15:29:29,log
2026-09-22,minervini_volume_dryup,161890,cash,qty_short,31,09:03:28,15:23:36,log
2026-09-22,minervini_volume_dryup,090430,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,090430,signal,Y,62,09:03:28,15:29:30,log
2026-09-22,minervini_volume_dryup,090430,cash,qty_short,31,09:03:29,15:23:36,log
2026-09-22,minervini_volume_dryup,007340,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,007340,signal,Y,62,09:03:29,15:29:30,log
2026-09-22,minervini_volume_dryup,007340,cash,qty_short,31,09:03:29,15:23:36,log
2026-09-22,minervini_volume_dryup,241710,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,241710,signal,replay:Y,,,,replay
2026-09-22,minervini_volume_dryup,241710,held,Y,,,,timeline
2026-09-22,minervini_volume_dryup,005090,candidate,Y,1,,,e6
2026-09-22,minervini_volume_dryup,005090,signal,Y,62,09:03:29,15:29:30,log
2026-09-22,minervini_volume_dryup,005090,gate,band_above,1,09:03:29,09:03:29,log
2026-09-22,minervini_volume_dryup,005090,cash,qty_short,30,09:17:07,15:23:36,log
2026-09-22,book_pullback_ma20,232140,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,232140,signal,Y,1,09:04:15,09:04:15,log
2026-09-22,book_pullback_ma20,232140,fill,Y,1,09:04:16,09:04:16,vtr
2026-09-22,book_pullback_ma20,080220,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,080220,signal,Y,3,09:04:16,09:17:53,log
2026-09-22,book_pullback_ma20,080220,cap,daily_trades,1,10:36:31,10:36:31,log
2026-09-22,book_pullback_ma20,080220,cap,max_positions,1,09:24:27,09:24:27,log
2026-09-22,book_pullback_ma20,080220,gate,throttle,1,09:04:16,09:04:16,log
2026-09-22,book_pullback_ma20,080220,gate,band_above,1,09:11:34,09:11:34,log
2026-09-22,book_pullback_ma20,036090,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,036090,signal,Y,3,09:04:16,09:17:53,log
2026-09-22,book_pullback_ma20,036090,cap,daily_trades,1,10:36:31,10:36:31,log
2026-09-22,book_pullback_ma20,036090,cap,max_positions,1,09:24:27,09:24:27,log
2026-09-22,book_pullback_ma20,036090,gate,throttle,1,09:04:16,09:04:16,log
2026-09-22,book_pullback_ma20,036090,gate,band_above,1,09:11:35,09:11:35,log
2026-09-22,book_pullback_ma20,417840,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,417840,signal,Y,3,09:04:17,09:17:53,log
2026-09-22,book_pullback_ma20,417840,cap,daily_trades,1,10:36:31,10:36:31,log
2026-09-22,book_pullback_ma20,417840,cap,max_positions,1,09:24:27,09:24:27,log
2026-09-22,book_pullback_ma20,417840,gate,throttle,1,09:04:17,09:04:17,log
2026-09-22,book_pullback_ma20,417840,gate,band_above,1,09:11:35,09:11:35,log
2026-09-22,book_pullback_ma20,071090,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,071090,signal,Y,2,09:04:17,09:11:35,log
2026-09-22,book_pullback_ma20,071090,gate,throttle,1,09:04:17,09:04:17,log
2026-09-22,book_pullback_ma20,071090,fill,Y,1,09:11:36,09:11:36,vtr
2026-09-22,book_pullback_ma20,033160,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,033160,signal,Y,3,09:04:17,09:17:54,log
2026-09-22,book_pullback_ma20,033160,cap,daily_trades,1,10:36:31,10:36:31,log
2026-09-22,book_pullback_ma20,033160,cap,max_positions,1,09:24:27,09:24:27,log
2026-09-22,book_pullback_ma20,033160,gate,throttle,2,09:04:18,09:11:36,log
2026-09-22,book_pullback_ma20,033160,gate,band_above,1,09:17:54,09:17:54,log
2026-09-22,book_pullback_ma20,382800,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,382800,signal,Y,3,09:04:18,09:17:54,log
2026-09-22,book_pullback_ma20,382800,gate,throttle,2,09:04:18,09:11:36,log
2026-09-22,book_pullback_ma20,382800,fill,Y,1,09:17:54,09:17:54,vtr
2026-09-22,book_pullback_ma20,086450,candidate,Y,1,,,e6
2026-09-22,book_pullback_ma20,086450,signal,Y,2,09:04:18,09:11:36,log
2026-09-22,book_pullback_ma20,086450,cap,daily_trades,1,10:36:31,10:36:31,log
2026-09-22,book_pullback_ma20,086450,cap,max_positions,1,09:17:54,09:17:54,log
2026-09-22,book_pullback_ma20,086450,gate,throttle,2,09:04:18,09:11:37,log
