date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-23,elder_ema_pullback,,036930,6,held,held,N,Y,triple_screen_ema_pullback low=200500<=ema13*1.02 close=2035,NA,NA,NA,,,,na,na,na,N,N,,,,203500,replay,,,,
2026-09-23,elder_ema_pullback,,003670,7,held,held,N,Y,triple_screen_ema_pullback low=177500<=ema13*1.02 close=1842,NA,NA,NA,,,,na,na,na,N,N,,,,184200,replay,,,,
2026-09-23,elder_ema_pullback,,105560,8,held,held,N,Y,triple_screen_ema_pullback low=174700<=ema13*1.02 close=1757,NA,NA,NA,,,,na,na,na,N,N,,,,175700,replay,,,,
2026-09-23,elder_ema_pullback,,031980,9,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=157400<=ema13*1.02 close=1582,Y,Y,Y,61,09:06:53,15:29:24,agree_Y,agree_Y,agree_Y,N,N,Y,Y,158200,158200,log,,,,
2026-09-23,elder_ema_pullback,,010950,10,bought,bought,Y,Y,triple_screen_ema_pullback low=147400<=ema13*1.02 close=1543,Y,Y,Y,2,09:06:53,09:13:03,agree_Y,agree_Y,agree_Y,N,N,Y,Y,154300,154300,log,,,,
2026-09-23,daytrading_3methods_breakout,,303810,1,bought,bought,Y,Y,breakout_prev_high close=3035.00 prior20_high=2375.00 vol=14,Y,Y,Y,1,09:02:07,09:02:07,agree_Y,agree_Y,agree_Y,N,N,N,Y,3035,3035,log,383.0533,2,+19052.67,
2026-09-23,daytrading_3methods_breakout,,393210,2,slot_available,slot_available,Y,Y,breakout_prev_high close=3315.00 prior20_high=2550.00 vol=44,Y,Y,Y,2,12:19:59,12:51:46,agree_Y,agree_Y,agree_Y,N,N,N,Y,3315,3315,log,74.4252,2,+3621.26,
2026-09-23,daytrading_3methods_breakout,,299170,3,bought,bought,Y,Y,breakout_prev_high close=1545.00 prior20_high=1307.00 vol=38,Y,Y,Y,1,12:19:59,12:19:59,agree_Y,agree_Y,agree_Y,N,N,N,Y,1545,1545,log,34.3586,2,+1617.93,
2026-09-23,daytrading_3methods_breakout,,051370,4,bought,bought,Y,Y,breakout_prev_high close=7130.00 prior20_high=6920.00 vol=23,Y,Y,Y,1,12:51:46,12:51:46,agree_Y,agree_Y,agree_Y,N,N,N,Y,7130,7130,log,35.0063,2,+1650.32,
2026-09-23,daytrading_3methods_breakout,,085670,5,no_slot,no_slot,Y,Y,breakout_prev_high close=3090.00 prior20_high=3060.00 vol=13,NA,NA,NA,,,,na,na,na,N,N,,,,3090,replay,33.9683,2,+1598.42,N
2026-09-23,daytrading_3methods_breakout,,439580,6,no_slot,no_slot,Y,Y,breakout_prev_high close=3120.00 prior20_high=2870.00 vol=89,NA,NA,NA,,,,na,na,na,N,N,,,,3120,replay,33.2028,2,+1560.14,N
2026-09-23,daytrading_3methods_breakout,,486990,7,no_slot,no_slot,Y,Y,breakout_prev_high close=22550.00 prior20_high=18950.00 vol=,NA,NA,NA,,,,na,na,na,N,N,,,,22550,replay,25.7389,2,+1186.94,N
2026-09-23,daytrading_3methods_breakout,,049470,8,no_slot,no_slot,Y,Y,breakout_prev_high close=3180.00 prior20_high=2900.00 vol=44,NA,NA,NA,,,,na,na,na,N,N,,,,3180,replay,19.0211,2,+851.05,N
